Best: 0.716667 using {'epochs': 250, 'init': 'glorot_uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
0.600000 (0.040825) with : {'epochs': 50, 'init': 'glorot_uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
0.483333 (0.047140) with : {'epochs': 50, 'init': 'glorot_uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
0.566667 (0.062361) with : {'epochs': 50, 'init': 'glorot_uniform', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
0.600000 (0.070711) with : {'epochs': 50, 'init': 'glorot_uniform', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
0.483333 (0.102740) with : {'epochs': 50, 'init': 'normal', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
0.500000 (0.177951) with : {'epochs': 50, 'init': 'normal', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
0.483333 (0.154560) with : {'epochs': 50, 'init': 'normal', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
0.516667 (0.164992) with : {'epochs': 50, 'init': 'normal', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
0.366667 (0.023570) with : {'epochs': 50, 'init': 'uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
0.516667 (0.169967) with : {'epochs': 50, 'init': 'uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
0.416667 (0.047140) with : {'epochs': 50, 'init': 'uniform', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
0.433333 (0.062361) with : {'epochs': 50, 'init': 'uniform', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
0.533333 (0.084984) with : {'epochs': 75, 'init': 'glorot_uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
0.616667 (0.062361) with : {'epochs': 75, 'init': 'glorot_uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
