Best: 0.733333 using {'epochs': 150, 'init': 'glorot_uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
0.516667 (0.131233) with : {'epochs': 50, 'init': 'glorot_uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
0.466667 (0.209497) with : {'epochs': 50, 'init': 'glorot_uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
0.616667 (0.124722) with : {'epochs': 50, 'init': 'glorot_uniform', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
0.366667 (0.084984) with : {'epochs': 50, 'init': 'glorot_uniform', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
0.416667 (0.143372) with : {'epochs': 50, 'init': 'normal', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
0.466667 (0.062361) with : {'epochs': 50, 'init': 'normal', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
0.366667 (0.084984) with : {'epochs': 50, 'init': 'normal', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
0.450000 (0.187083) with : {'epochs': 50, 'init': 'normal', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
0.366667 (0.084984) with : {'epochs': 50, 'init': 'uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
0.450000 (0.163299) with : {'epochs': 50, 'init': 'uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
0.366667 (0.084984) with : {'epochs': 50, 'init': 'uniform', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
0.433333 (0.143372) with : {'epochs': 50, 'init': 'uniform', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
0.616667 (0.062361) with : {'epochs': 75, 'init': 'glorot_uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
0.550000 (0.122474) with : {'epochs': 75, 'init': 'glorot_uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
0.566667 (0.143372) with : {'epochs': 75, 'init': 'glorot_uniform', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
0.400000 (0.108012) with : {'epochs': 75, 'init': 'glorot_uniform', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
0.466667 (0.062361) with : {'epochs': 75, 'init': 'normal', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
0.383333 (0.094281) with : {'epochs': 75, 'init': 'normal', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
0.600000 (0.147196) with : {'epochs': 75, 'init': 'normal', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
0.366667 (0.084984) with : {'epochs': 75, 'init': 'normal', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
0.366667 (0.084984) with : {'epochs': 75, 'init': 'uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
0.366667 (0.084984) with : {'epochs': 75, 'init': 'uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
0.366667 (0.084984) with : {'epochs': 75, 'init': 'uniform', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
0.366667 (0.084984) with : {'epochs': 75, 'init': 'uniform', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
0.500000 (0.108012) with : {'epochs': 100, 'init': 'glorot_uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
0.433333 (0.164992) with : {'epochs': 100, 'init': 'glorot_uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
0.650000 (0.040825) with : {'epochs': 100, 'init': 'glorot_uniform', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
0.550000 (0.216025) with : {'epochs': 100, 'init': 'glorot_uniform', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
0.366667 (0.084984) with : {'epochs': 100, 'init': 'normal', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
0.366667 (0.084984) with : {'epochs': 100, 'init': 'normal', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
0.383333 (0.094281) with : {'epochs': 100, 'init': 'normal', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
0.466667 (0.062361) with : {'epochs': 100, 'init': 'normal', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
0.466667 (0.062361) with : {'epochs': 100, 'init': 'uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
0.366667 (0.084984) with : {'epochs': 100, 'init': 'uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
0.450000 (0.187083) with : {'epochs': 100, 'init': 'uniform', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
0.416667 (0.124722) with : {'epochs': 100, 'init': 'uniform', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
0.366667 (0.084984) with : {'epochs': 125, 'init': 'glorot_uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
0.500000 (0.108012) with : {'epochs': 125, 'init': 'glorot_uniform', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
0.550000 (0.177951) with : {'epochs': 125, 'init': 'glorot_uniform', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
